exclude,tips_original,tips_sub
Agalychnis_saltator_Hylidae,Adenomus_kelaartii_Bufonidae,Adenomus_kelaartii_Bufonidae
Alsodes_gargola_Alsodidae,Afrixalus_dorsalis_Hyperoliidae,Afrixalus_dorsalis_Hyperoliidae
Amazophrynella_minuta_Bufonidae,Agalychnis_callidryas_Hylidae,Agalychnis_callidryas_Hylidae
Amolops_loloensis_Ranidae,Aglyptodactylus_madagascariensis_Mantellidae,Aglyptodactylus_madagascariensis_Mantellidae
Andrias_davidianus_Cryptobranchidae,Allobates_femoralis_Dendrobatidae,Allobates_femoralis_Dendrobatidae
Atelognathus_reverberii_Batrachylidae,Allophryne_ruthveni_Allophrynidae,Allophryne_ruthveni_Allophrynidae
Batrachophrynus_macrostomus_Telmatobiidae,Alytes_obstetricans_Alytidae,Alytes_obstetricans_Alytidae
Batrachuperus_yenyuanensis_Hynobiidae,Amolops_ricketti_Ranidae,Amolops_ricketti_Ranidae
Blommersia_wittei_Mantellidae,Anaxyrus_punctatus_Bufonidae,Anaxyrus_punctatus_Bufonidae
Boophis_madagascariensis_Mantellidae,Anodonthyla_boulengerii_Microhylidae,Anodonthyla_boulengerii_Microhylidae
Boophis_xerophilus_Mantellidae,Arthroleptis_poecilonotus_Arthroleptidae,Arthroleptis_poecilonotus_Arthroleptidae
Breviceps_macrops_Brevicipitidae,Arthroleptis_variabilis_Arthroleptidae,Arthroleptis_variabilis_Arthroleptidae
Buergeria_buergeri_Rhacophoridae,Ascaphus_truei_Ascaphidae,Ascaphus_truei_Ascaphidae
Buergeria_oxycephala_Rhacophoridae,Aubria_subsigillata_Pyxicephalidae,Aubria_subsigillata_Pyxicephalidae
Bufo_gargarizans_Bufonidae,Babina_chapaensis_Ranidae,Babina_chapaensis_Ranidae
Bufo_japonicus_Bufonidae,Barbourula_busuangensis_Bombinatoridae,Barbourula_busuangensis_Bombinatoridae
Callulina_laphami_Brevicipitidae,Barycholos_pulcher_Strabomantidae,Barycholos_pulcher_Strabomantidae
Callulops_wilhelmanus_Microhylidae,Batrachyla_leptopus_Batrachylidae,Batrachyla_leptopus_Batrachylidae
Centrolene_bacatum_Centrolenidae,Batrachyla_taeniata_Batrachylidae,Batrachyla_taeniata_Batrachylidae
Centrolene_daidaleum_Centrolenidae,Bombina_fortinuptialis_Bombinatoridae,Bombina_fortinuptialis_Bombinatoridae
Ceuthomantis_smaragdinus_Ceuthomantidae,Bombina_orientalis_Bombinatoridae,Bombina_orientalis_Bombinatoridae
Chalcorana_macrops_Ranidae,Brachycephalus_ephippium_Brachycephalidae,Brachycephalus_ephippium_Brachycephalidae
Chimerella_mariaelenae_Centrolenidae,Breviceps_mossambicus_Brevicipitidae,Breviceps_mossambicus_Brevicipitidae
Cochranella_granulosa_Centrolenidae,Bufo_bufo_Bufonidae,Bufo_bufo_Bufonidae
Cophixalus_sp._A_Microhylidae,Bufotes_viridis_Bufonidae,Bufotes_viridis_Bufonidae
Cophixalus_sp._B_Microhylidae,Calluella_guttulata_Microhylidae,Calluella_guttulata_Microhylidae
Craugastor_augusti_Craugastoridae,Callulina_kreffti_Brevicipitidae,Callulina_kreffti_Brevicipitidae
Crocodylus_siamensis_Crocodylidae,Calyptocephalella_gayi_Calyptocephalellidae,Calyptocephalella_gayi_Calyptocephalellidae
Epipedobates_tricolor_Dendrobatidae,Ceratophrys_cornuta_Ceratophryidae,Ceratophrys_cornuta_Ceratophryidae
Fejervarya_granosa_Dicroglossidae,Ceratophrys_ornata_Ceratophryidae,Ceratophrys_ornata_Ceratophryidae
Fejervarya_multistriata_Dicroglossidae,Chaperina_fusca_Microhylidae,Chaperina_fusca_Microhylidae
Gallus_gallus_Phasianidae,Conraua_crassipes_Conrauidae,Conraua_crassipes_Conrauidae
Homo_sapiens_Hominidae,Cophixalus_cheesmanae_Microhylidae,Cophixalus_cheesmanae_Microhylidae
Hyalinobatrachium_aureoguttatum_Centrolenidae,Craugastor_fitzingeri_Craugastoridae,Craugastor_fitzingeri_Craugastoridae
Hyalinobatrachium_colymbiphyllum_Centrolenidae,Craugastor_podiciferus_Craugastoridae,Craugastor_podiciferus_Craugastoridae
Hyalinobatrachium_ibama_Centrolenidae,Crinia_signifera_Myobatrachidae,Crinia_signifera_Myobatrachidae
Hydrophylax_leptoglossa_Ranidae,Cruziohyla_calcarifer_Hylidae,Cruziohyla_calcarifer_Hylidae
Hyloscirtus_lindae_Hylidae,Cryptobatrachus_boulengeri_Hemiphractidae,Cryptobatrachus_boulengeri_Hemiphractidae
Hyloxalus_jacobuspetersi_Dendrobatidae,Dendrobates_auratus_Dendrobatidae,Dendrobates_auratus_Dendrobatidae
Hypodactylus_brunneus_Strabomantidae,Dendropsophus_parviceps_Hylidae,Dendropsophus_parviceps_Hylidae
Ichthyophis_bannanicus_Ichthyophiidae,Diasporus_diastema_Eleutherodactylidae,Diasporus_diastema_Eleutherodactylidae
Ikakogi_tayrona_Centrolenidae,Discoglossus_pictus_Alytidae,Discoglossus_pictus_Alytidae
Indirana_sp._A_Ranixalidae,Duttaphrynus_melanostictus_Bufonidae,Duttaphrynus_melanostictus_Bufonidae
Indirana_sp._B_Ranixalidae,Duttaphrynus_stomaticus_Bufonidae,Duttaphrynus_stomaticus_Bufonidae
Ingerophrynus_divergens_Bufonidae,Dyscophus_antongilii_Microhylidae,Dyscophus_antongilii_Microhylidae
Insuetophrynus_acarpicus_Rhinodermatidae,Elachistocleis_ovalis_Microhylidae,Elachistocleis_ovalis_Microhylidae
Lankanectes_corrugatus_Nyctibatrachidae,Eleutherodactylus_coqui_Eleutherodactylidae,Eleutherodactylus_coqui_Eleutherodactylidae
Latimeria_chalumnae_Latimeriidae,Eleutherodactylus_marnockii_Eleutherodactylidae,Eleutherodactylus_marnockii_Eleutherodactylidae
Leptopelis_kivuensis_Arthroleptidae,Eleutherodactylus_planirostris_Eleutherodactylidae,Eleutherodactylus_planirostris_Eleutherodactylidae
Limnonectes_fujianensis_Dicroglossidae,Epidalea_calamita_Bufonidae,Epidalea_calamita_Bufonidae
Limnonectes_magnus_Dicroglossidae,Espadarana_prosoblepon_Centrolenidae,Espadarana_prosoblepon_Centrolenidae
Liophryne_schlaginhaufeni_Microhylidae,Euphlyctis_cyanophlyctis_Dicroglossidae,Euphlyctis_cyanophlyctis_Dicroglossidae
Liurana_xizangensis_Ceratobatrachidae,Fejervarya_limnocharis_Dicroglossidae,Fejervarya_limnocharis_Dicroglossidae
MelanobatrachinaeBabina_pleuraden_Ranidae,Flectonotus_fitzgeraldi_Hemiphractidae,Flectonotus_fitzgeraldi_Hemiphractidae
Meristogenys_kinabaluensis_Ranidae,Gastrophryne_olivacea_Microhylidae,Gastrophryne_olivacea_Microhylidae
Metaphrynella_pollicaris_Microhylidae,Gastrotheca_pseustes_Hemiphractidae,Gastrotheca_pseustes_Hemiphractidae
Metaphrynella_sundana_Microhylidae,Heleophryne_purcelli_Heleophrynidae,Heleophryne_purcelli_Heleophrynidae
Micryletta_inornata_Microhylidae,Hemiphractus_bubalus_Hemiphractidae,Hemiphractus_bubalus_Hemiphractidae
Nannophryne_cophotis_Bufonidae,Hemisus_marmoratus_Hemisotidae,Hemisus_marmoratus_Hemisotidae
Nannophryne_variegata_Bufonidae,Hoplobatrachus_tigerinus_Dicroglossidae,Hoplobatrachus_tigerinus_Dicroglossidae
Nymphargus_grandisonae_Centrolenidae,Hoplophryne_rogersi_Microhylidae,Hoplophryne_rogersi_Microhylidae
Odorrana_schmackeri_Ranidae,Hyla_arenicolor_Hylidae,Hyla_arenicolor_Hylidae
Oreolalax_jingdongensis_Megophryidae,Hyla_chinensis_Hylidae,Hyla_chinensis_Hylidae
Oreophryne_sp._B_Microhylidae,Hyla_cinerea_Hylidae,Hyla_cinerea_Hylidae
Otophryne_pyburni_Microhylidae,Hylodes_nasus_Hylodidae,Hylodes_nasus_Hylodidae
Papurana_latouchii_Ranidae,Hylophorbus_rufescens_Microhylidae,Hylophorbus_rufescens_Microhylidae
Papurana_sp._Ranidae,Hymenochirus_boettgeri_Pipidae,Hymenochirus_boettgeri_Pipidae
Paradoxophyla_palmata_Microhylidae,Hyperolius_bolifambae_Hyperoliidae,Hyperolius_bolifambae_Hyperoliidae
Peltophryne_longinasus_Bufonidae,Hyperolius_viridiflavus_Hyperoliidae,Hyperolius_viridiflavus_Hyperoliidae
Peltophryne_peltocephala_Bufonidae,Hypsiboas_fasciatus_Hylidae,Hypsiboas_fasciatus_Hylidae
Petropedetes_euskircheni_Petropedetidae,Incilius_luetkenii_Bufonidae,Incilius_luetkenii_Bufonidae
Phrynella_pulchra_Microhylidae,Incilius_nebulifer_Bufonidae,Incilius_nebulifer_Bufonidae
Phrynobatrachus_africanus_Phrynobatrachidae,Ingerophrynus_galeatus_Bufonidae,Ingerophrynus_galeatus_Bufonidae
Phrynopus_bracki_Strabomantidae,Kalophrynus_interlineatus_Microhylidae,Kalophrynus_interlineatus_Microhylidae
Phyllobates_vittatus_Dendrobatidae,Kalophrynus_pleurostigma_Microhylidae,Kalophrynus_pleurostigma_Microhylidae
Phyllomedusa_tomopterna_Hylidae,Kaloula_conjuncta_Microhylidae,Kaloula_conjuncta_Microhylidae
Pleurodema_somuncurensis_Leptodactylidae,Kaloula_pulchra_Microhylidae,Kaloula_pulchra_Microhylidae
Pristimantis_thymelensis_Strabomantidae,Kurixalus_odontotarsus_Rhacophoridae,Kurixalus_odontotarsus_Rhacophoridae
Protopterus_annectens_Protopteridae,Leiopelma_hochstetteri_Leiopelmatidae,Leiopelma_hochstetteri_Leiopelmatidae
Pseudophilautus_wynaadensis_Rhacophoridae,Lepidobatrachus_laevis_Ceratophryidae,Lepidobatrachus_laevis_Ceratophryidae
Ptychadena_cooperi_Ptychadenidae,Leptobrachium_chapaense_Megophryidae,Leptobrachium_chapaense_Megophryidae
Rana_draytonii_Ranidae,Leptodactylodon_ovatus_Arthroleptidae,Leptodactylodon_ovatus_Arthroleptidae
Ranitomeya_imitator_Dendrobatidae,Leptodactylus_albilabris_Leptodactylidae,Leptodactylus_albilabris_Leptodactylidae
Rulyrana_adiazeta_Centrolenidae,Leptodactylus_melanonotus_Leptodactylidae,Leptodactylus_melanonotus_Leptodactylidae
Rulyrana_flavopunctata_Centrolenidae,Leptopelis_parkeri_Arthroleptidae,Leptopelis_parkeri_Arthroleptidae
Sachatamia_ilex_Centrolenidae,Leptophryne_borbonica_Bufonidae,Leptophryne_borbonica_Bufonidae
Sanguirana_luzonensis_Ranidae,Limnodynastes_salmini_Myobatrachidae,Limnodynastes_salmini_Myobatrachidae
Scaphiophryne_boribory_Microhylidae,Limnonectes_laticeps_Dicroglossidae,Limnonectes_laticeps_Dicroglossidae
Scaphiophryne_madagascariensis_Microhylidae,Lithodytes_lineatus_Leptodactylidae,Lithodytes_lineatus_Leptodactylidae
Staurois_latopalmatus_Ranidae,Litoria_caerulea_Hylidae,Litoria_caerulea_Hylidae
Strabomantis_sulcatus_Strabomantidae,Mantophryne_lateralis_Microhylidae,Mantophryne_lateralis_Microhylidae
Uperodon_variegatus_Microhylidae,Brachytarsophrys_feae_Megophryidae,Megophrys_feae_Megophryidae
Vitreorana_helenae_Centrolenidae,Ophryophryne_microstoma_Megophryidae,Megophrys_microstoma_Megophryidae
Xenorhina_obesa_Microhylidae,Megophrys_nasuta_Megophryidae,Megophrys_nasuta_Megophryidae
Xenorhina_sp._Microhylidae,Melanobatrachus_indicus_Microhylidae,Melanobatrachus_indicus_Microhylidae
Lepidobatrachus_sp._Ceratophryidae,Melanophryniscus_stelzneri_Bufonidae,Melanophryniscus_stelzneri_Bufonidae
Peltophryne_lemur_Bufonidae,Mertensophryne_micranotis_Bufonidae,Mertensophryne_micranotis_Bufonidae
Polypedates_megacephalus_Rhacophoridae,Microhyla_annectens_Microhylidae,Microhyla_annectens_Microhylidae
,Microhyla_heymonsi_Microhylidae,Microhyla_heymonsi_Microhylidae
,Microhyla_marmorata_Microhylidae,Microhyla_marmorata_Microhylidae
,Myobatrachus_gouldii_Myobatrachidae,Myobatrachus_gouldii_Myobatrachidae
,Nasikabatrachus_sahyadrensis_Nasikabatrachidae,Nasikabatrachus_sahyadrensis_Nasikabatrachidae
,Nyctibates_corrugatus_Arthroleptidae,Nyctibates_corrugatus_Arthroleptidae
,Nyctimystes_kubori_Hylidae,Nyctimystes_kubori_Hylidae
,Occidozyga_laevis_Dicroglossidae,Occidozyga_laevis_Dicroglossidae
,Occidozyga_lima_Dicroglossidae,Occidozyga_lima_Dicroglossidae
,Odorrana_hosii_Ranidae,Odorrana_hosii_Ranidae
,Osteocephalus_taurinus_Hylidae,Osteocephalus_taurinus_Hylidae
,Pelobates_cultripes_Pelobatidae,Pelobates_cultripes_Pelobatidae
,Pelobates_syriacus_Pelobatidae,Pelobates_syriacus_Pelobatidae
,Petropedetes_parkeri_Petropedetidae,Petropedetes_parkeri_Petropedetidae
,Phrynobatrachus_krefftii_Phrynobatrachidae,Phrynobatrachus_krefftii_Phrynobatrachidae
,Phrynobatrachus_natalensis_Phrynobatrachidae,Phrynobatrachus_natalensis_Phrynobatrachidae
,Phrynoidis_aspera_Bufonidae,Phrynoidis_aspera_Bufonidae
,Phrynoidis_juxtaspera_Bufonidae,Phrynoidis_juxtaspera_Bufonidae
,Phrynomantis_microps_Microhylidae,Phrynomantis_microps_Microhylidae
,Phyllomedusa_hypochondrialis_Hylidae,Phyllomedusa_hypochondrialis_Hylidae
,Physalaemus_cuvieri_Leptodactylidae,Physalaemus_cuvieri_Leptodactylidae
,Physalaemus_pustulosus_Leptodactylidae,Physalaemus_pustulosus_Leptodactylidae
,Pipa_pipa_Pipidae,Pipa_pipa_Pipidae
,Platymantis_hazelae_Ceratobatrachidae,Platymantis_hazelae_Ceratobatrachidae
,Platypelis_tuberifera_Microhylidae,Platypelis_tuberifera_Microhylidae
,Pleurodema_thaul_Leptodactylidae,Pleurodema_thaul_Leptodactylidae
,Proceratophrys_boiei_Odontophrynidae,Proceratophrys_boiei_Odontophrynidae
,Pseudhymenochirus_merlini_Pipidae,Pseudhymenochirus_merlini_Pipidae
,Pseudis_paradoxa_Hylidae,Pseudis_paradoxa_Hylidae
,Ptychadena_mascareniensis_Ptychadenidae,Ptychadena_mascareniensis_Ptychadenidae
,Ptychadena_oxyrhynchus_Ptychadenidae,Ptychadena_oxyrhynchus_Ptychadenidae
,Pyxicephalus_edulis_Pyxicephalidae,Pyxicephalus_edulis_Pyxicephalidae
,Rana_amurensis_Ranidae,Rana_amurensis_Ranidae
,Rana_berlandieri_Ranidae,Rana_berlandieri_Ranidae
,Rana_catesbeiana_Ranidae,Rana_catesbeiana_Ranidae
,Rana_chensinensis_Ranidae,Rana_chensinensis_Ranidae
,Rana_japonica_Ranidae,Rana_japonica_Ranidae
,Rana_pipiens_Ranidae,Rana_pipiens_Ranidae
,Rana_temporaria_Ranidae,Rana_temporaria_Ranidae
,Rana_virgatipes_Ranidae,Rana_virgatipes_Ranidae
,Rentapia_hosii_Bufonidae,Rentapia_hosii_Bufonidae
,Rhacophorus_dennysi_Rhacophoridae,Rhacophorus_dennysi_Rhacophoridae
,Rhaebo_glaberrimus_Bufonidae,Rhaebo_glaberrimus_Bufonidae
,Rhaebo_nasicus_Bufonidae,Rhaebo_nasicus_Bufonidae
,Rhinella_marina_Bufonidae,Rhinella_marina_Bufonidae
,Rhinella_ocellata_Bufonidae,Rhinella_ocellata_Bufonidae
,Rhinoderma_darwinii_Rhinodermatidae,Rhinoderma_darwinii_Rhinodermatidae
,Rhinophrynus_dorsalis_Rhinophrynidae,Rhinophrynus_dorsalis_Rhinophrynidae
,Scaphiophryne_marmorata_Microhylidae,Scaphiophryne_marmorata_Microhylidae
,Scaphiopus_couchii_Scaphiopodidae,Scaphiopus_couchii_Scaphiopodidae
,Scaphiopus_holbrookii_Scaphiopodidae,Scaphiopus_holbrookii_Scaphiopodidae
,Schismaderma_carens_Bufonidae,Schismaderma_carens_Bufonidae
,Scinax_ruber_Hylidae,Scinax_ruber_Hylidae
,Sclerophrys_brauni_Bufonidae,Sclerophrys_brauni_Bufonidae
,Sclerophrys_maculata_Bufonidae,Sclerophrys_maculata_Bufonidae
,Scotobleps_gabonicus_Arthroleptidae,Scotobleps_gabonicus_Arthroleptidae
,Spea_intermontana_Scaphiopodidae,Spea_intermontana_Scaphiopodidae
,Spea_multiplicata_Scaphiopodidae,Spea_multiplicata_Scaphiopodidae
,Spelaeophryne_methneri_Brevicipitidae,Spelaeophryne_methneri_Brevicipitidae
,Strongylopus_grayii_Pyxicephalidae,Strongylopus_grayii_Pyxicephalidae
,Sylvirana_guentheri_Ranidae,Sylvirana_guentheri_Ranidae
,Teratohyla_spinosa_Centrolenidae,Teratohyla_spinosa_Centrolenidae
,Trachycephalus_typhonius_Hylidae,Trachycephalus_typhonius_Hylidae
,Trichobatrachus_robustus_Arthroleptidae,Trichobatrachus_robustus_Arthroleptidae
,Uperodon_systoma_Microhylidae,Uperodon_systoma_Microhylidae
,Uperoleia_laevigata_Myobatrachidae,Uperoleia_laevigata_Myobatrachidae
,Acris_crepitans_Hylidae,Acris_gryllus_Hylidae
,Agalychnis_lemur_Hylidae,Agalychnis_dacnicolor_Hylidae
,Nectophrynoides_tornieri_Bufonidae,Altiphrynoides_osgoodi_Bufonidae
,Amietia_lubrica_Pyxicephalidae,Amietia_angolensis_Pyxicephalidae
,Anaxyrus_canorus_Bufonidae,Anaxyrus_cognatus_Bufonidae
,Aplastodiscus_perviridis_Hylidae,Aplastodiscus_albofrenatus_Hylidae
,Astylosternus_diadematus_Arthroleptidae,Astylosternus_montanus_Arthroleptidae
,Atelopus_peruensis_Bufonidae,Atelopus_senex_Bufonidae
,Chiasmocleis_ventrimaculata_Microhylidae,Chiasmocleis_albopunctata_Microhylidae
,Cophixalus_cryptotympanum_Microhylidae,Cophixalus_neglectus_Microhylidae
,Cornufer_pelewensis_Ceratobatrachidae,Cornufer_guppyi_Ceratobatrachidae
,Ctenophryne_geayi_Microhylidae,Ctenophryne_aterrima_Microhylidae
,Stereocyclops_incrassatus_Microhylidae,Dermatonotus_muelleri_Microhylidae
,Eupsophus_calcaratus_Alsodidae,Eupsophus_roseus_Alsodidae
,Gastrophrynoides_immaculatus_Microhylidae,Gastrophrynoides_borneensis_Microhylidae
,Gastrotheca_weinlandii_Hemiphractidae,Gastrotheca_cornuta_Hemiphractidae
,Ischnocnema_guentheri_Brachycephalidae,Ischnocnema_parva_Brachycephalidae
,Leptolalax_alpinus_Megophryidae,Leptobrachella_bidoupensis_Megophryidae
,Leptodactylus_latrans_Leptodactylidae,Leptodactylus_bolivianus_Leptodactylidae
,Mantella_madagascariensis_Mantellidae,Mantella_aurantiaca_Mantellidae
,Xenophrys_omeimontis_Megophryidae,Megophrys_brachykolos_Megophryidae
,Micrixalus_sp._Micrixalidae,Micrixalus_phyllophilus_Micrixalidae
,Microhyla_okinavensis_Microhylidae,Microhyla_fissipes_Microhylidae
,Mixophyes_coggeri_Myobatrachidae,Mixophyes_fasciolatus_Myobatrachidae
,Nyctibatrachus_sp._Nyctibatrachidae,Nyctibatrachus_humayuni_Nyctibatrachidae
,Nyctimystes_pulcher_Hylidae,Nyctimystes_papua_Hylidae
,Odontophrynus_occidentalis_Odontophrynidae,Odontophrynus_americanus_Odontophrynidae
,Oreophryne_sp._A_Microhylidae,Oreophryne_variabilis_Microhylidae
,Pelodytes_ibericus_Pelodytidae,Pelodytes_punctatus_Pelodytidae
,Pelophylax_nigromaculatus_Ranidae,Pelophylax_ridibundus_Ranidae
,Phlyctimantis_boulengeri_Hyperoliidae,Phlyctimantis_verrucosus_Hyperoliidae
,Pipa_parva_Pipidae,Pipa_carvalhoi_Pipidae
,Plethodontohyla_inguinalis_Microhylidae,Plethodontohyla_notosticta_Microhylidae
,Probreviceps_durirostris_Brevicipitidae,Probreviceps_loveridgei_Brevicipitidae
,Quasipaa_spinosa_Dicroglossidae,Quasipaa_fasciculispina_Dicroglossidae
,Cyclorana_maini_Hylidae,Ranoidea_platycephala_Hylidae
,Stumpffia_pygmaea_Microhylidae,Stumpffia_grandis_Microhylidae
,Scutiger_gongshanensis_Megophryidae,Scutiger_boulengeri_Megophryidae
,Sooglossus_thomasseti_Sooglossidae,Sooglossus_sechellensis_Sooglossidae
,Stefania_ginesi_Hemiphractidae,Stefania_evansi_Hemiphractidae
,Strabomantis_biporcatus_Strabomantidae,Strabomantis_bufoniformis_Strabomantidae
,Synapturanus_sp._Microhylidae,Synapturanus_mirandaribeiroi_Microhylidae
,Telmatobius_vellardi_Telmatobiidae,Telmatobius_culeus_Telmatobiidae
,Thoropa_taophora_Cycloramphidae,Thoropa_miliaris_Cycloramphidae
,Uperodon_montanus_Microhylidae,Uperodon_globulosus_Microhylidae
,Xenopus_kobeli_Pipidae,Xenopus_fraseri_Pipidae
,Xenopus_epitropicalis_Pipidae,Xenopus_tropicalis_Pipidae
,Odontobatrachus_natator_Odontobatrachidae,Odontobatrachus_natator_Odontobatrachidae